incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1369,311,1,87.30584,44.2181,202409080949,14.25,82.17,419,96830,42035,201.7,201.7,201.7,0,0.5,0.3,444.6,22040,0,0,16.07,0,365
1370,311,1,87.30584,44.2181,202409081049,16.8,57.73,750,96850,59535,230.3,230.3,230.3,0.4,0.7,0.6,444.6,22040,0,0,17.78,0,345
1371,311,1,87.30584,44.2181,202409081149,18.19,39.28,1063,96850,72830,33.6,57.1,49,0.6,1,0.8,444.6,22040,0,0,18.99,0,342
1372,311,1,87.30584,44.2181,202409081249,18.75,40.04,913,96800,82310,46.7,59,53.4,1.5,2,1.8,444.6,22040,0,0,19.32,0,347
1373,311,1,87.30584,44.2181,202409081349,19.56,44.21,1448,96740,89595,105.6,128,116.4,1,1.5,1.3,444.6,22040,0,0,20.51,0,349
1374,311,1,87.30584,44.2181,202409081449,19.87,36.47,1380,96680,88235,3.1,324.4,330.1,0.5,1.1,0.8,444.6,22040,0,0,20.58,0,353
1375,311,1,87.30584,44.2181,202409081549,20.56,39.05,1163,96620,81195,331.1,347.7,334.5,0.5,2.2,1.6,444.6,22040,0,0,21.6,0,355
1376,311,1,87.30584,44.2181,202409081649,20.94,34.02,1006,96560,73390,79.8,94.4,84.4,2,2.5,2.2,444.6,22040,0,0,21.65,0,350
1377,311,1,87.30584,44.2181,202409081749,21.03,32.16,737,96520,61255,66.8,66.8,66.8,0,0.5,0.1,444.6,22040,0,0,23.02,0,347
1378,311,1,87.30584,44.2181,202409081849,20.76,31.14,434,96520,45220,68.7,75.9,72.5,0.7,1.1,0.9,444.6,22040,0,0,23.08,0,346
1379,311,1,87.30584,44.2181,202409081949,20.11,37.15,151,96520,20635,59.7,68.5,62.7,1.3,1.8,1.5,444.6,22040,0,0,20.86,0,345
1380,311,1,87.30584,44.2181,202409082049,17.75,45.28,4,96540,440,7.1,40.5,27.6,0.8,1.5,1.1,444.6,22040,0,0,17.48,0,351
1381,311,1,87.30584,44.2181,202409082149,15.97,45.33,0,96600,0,33.6,45,39.5,0.7,1,0.8,444.6,22040,0,0,15.28,0,352
1382,311,1,87.30584,44.2181,202409082249,13.73,52.33,0,96630,0,153.4,153.4,153.4,0,0.4,0.2,444.6,22040,0,0,13.17,0,358
1383,311,1,87.30584,44.2181,202409082349,14.12,49.76,0,96620,0,127.4,127.4,127.4,0.5,0.7,0.6,444.6,22040,0,0,13.43,0,354
1384,311,1,87.30584,44.2181,202409090049,13.48,52.63,0,96610,0,128.6,128.6,128.6,0.5,0.8,0.7,444.6,22040,0,0,12.96,0,352
1385,311,1,87.30584,44.2181,202409090149,12.31,61.29,0,96570,0,171.8,171.8,171.8,0.4,0.5,0.5,444.6,22040,0,0,12.02,0,365
1386,311,1,87.30584,44.2181,202409090249,9.77,72.73,0,96550,0,216.2,218.6,217.4,0.7,0.8,0.7,444.6,22040,0,0,9.67,0,402
1387,311,1,87.30584,44.2181,202409090349,9.24,76.69,0,96490,0,192.5,200.5,194.6,1.1,1.2,1.1,444.6,22040,0,0,9.01,0,383
1388,311,1,87.30584,44.2181,202409090449,8.91,79.07,0,96500,0,194.4,199.2,196.8,1.3,1.4,1.4,444.6,22040,0,0,8.74,0,399
1389,311,1,87.30584,44.2181,202409090549,7.51,82.53,0,96460,0,198.4,198.4,198.4,0,0.4,0.1,444.6,22040,0,0,7.58,0,422
1390,311,1,87.30584,44.2181,202409090649,7.06,88.31,0,96410,0,213.6,218.8,216.2,0.9,1,0.9,444.6,22040,0,0,7.09,0,435
1391,311,1,87.30584,44.2181,202409090749,6.37,90.82,4,96420,650,198.4,198.4,198.4,0,0.4,0,444.6,22040,0,0,6.32,0,466
1392,311,1,87.30584,44.2181,202409090849,7.15,88.95,72,96460,19560,206.5,206.5,206.5,0,0.4,0,444.6,22040,0,0,8.03,0,468
